real,imag
-3.535533905932750076e-01,-8.535533905932732868e-01
-2.828427124746185628e-01,-8.828427124746192067e-01
-2.121320343559645050e-01,-9.121320343559641275e-01
-1.414213562373104471e-01,-9.414213562373090483e-01
-7.071067811865405783e-02,-9.707106781186549682e-01
0.000000000000000000e+00,-1.000000000000000000e+00
-7.071067811865403008e-02,-9.707106781186550792e-01
-1.414213562373080602e-01,-9.414213562373101585e-01
-2.121320343559644772e-01,-9.121320343559642385e-01
-2.828427124746185073e-01,-8.828427124746192067e-01
-3.535533905932725096e-01,-8.535533905932742860e-01
-4.242640687119289544e-01,-8.242640687119283660e-01
-4.949747468305829567e-01,-7.949747468305834452e-01
-5.656854249492370146e-01,-7.656854249492384135e-01
-6.363961030678909614e-01,-7.363961030678936037e-01
-7.071067811865474617e-01,-7.071067811865475727e-01
-7.363961030678924935e-01,-6.363961030678932929e-01
-7.656854249492375253e-01,-5.656854249492390130e-01
-7.949747468305826681e-01,-4.949747468305847331e-01
-8.242640687119286991e-01,-4.242640687119280662e-01
-8.535533905932737309e-01,-3.535533905932737864e-01
-8.828427124746187626e-01,-2.828427124746195065e-01
-9.121320343559647936e-01,-2.121320343559628396e-01
-9.414213562373099364e-01,-1.414213562373085598e-01
-9.707106781186549682e-01,-7.071067811865427988e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186540800e-01,-7.071067811865641706e-02
-9.414213562373091593e-01,-1.414213562373104471e-01
-9.121320343559642385e-01,-2.121320343559644772e-01
-8.828427124746182075e-01,-2.828427124746208943e-01
-8.535533905932732868e-01,-3.535533905932748966e-01
-8.242640687119283660e-01,-4.242640687119289544e-01
-7.949747468305834452e-01,-4.949747468305829567e-01
-7.656854249492375253e-01,-5.656854249492393460e-01
-7.363961030678924935e-01,-6.363961030678934039e-01
-7.071067811865475727e-01,-7.071067811865474617e-01
-6.363961030678911834e-01,-7.363961030678933817e-01
-5.656854249492371256e-01,-7.656854249492384135e-01
-4.949747468305830678e-01,-7.949747468305833342e-01
-4.242640687119290099e-01,-8.242640687119282550e-01
-3.535533905932726206e-01,-8.535533905932741749e-01
-2.828427124746185628e-01,-8.828427124746192067e-01
-2.121320343559645050e-01,-9.121320343559641275e-01
-1.414213562373081157e-01,-9.414213562373100475e-01
-7.071067811865405783e-02,-9.707106781186549682e-01
0.000000000000000000e+00,-1.000000000000000000e+00
7.071067811865403008e-02,-9.707106781186550792e-01
1.414213562373104471e-01,-9.414213562373091593e-01
2.121320343559644772e-01,-9.121320343559642385e-01
2.828427124746185073e-01,-8.828427124746192067e-01
3.535533905932748966e-01,-8.535533905932732868e-01
4.242640687119289544e-01,-8.242640687119283660e-01
4.949747468305829567e-01,-7.949747468305834452e-01
5.656854249492370146e-01,-7.656854249492384135e-01
6.363961030678934039e-01,-7.363961030678924935e-01
7.071067811865474617e-01,-7.071067811865475727e-01
7.363961030678923825e-01,-6.363961030678935149e-01
7.656854249492384135e-01,-5.656854249492371256e-01
7.949747468305833342e-01,-4.949747468305830678e-01
8.242640687119282550e-01,-4.242640687119290099e-01
8.535533905932732868e-01,-3.535533905932750076e-01
8.828427124746192067e-01,-2.828427124746185628e-01
9.121320343559641275e-01,-2.121320343559645050e-01
9.414213562373090483e-01,-1.414213562373104471e-01
9.707106781186540800e-01,-7.071067811865650032e-02
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186550792e-01,7.071067811865403008e-02
9.414213562373101585e-01,1.414213562373080602e-01
9.121320343559642385e-01,2.121320343559644772e-01
8.828427124746192067e-01,2.828427124746185073e-01
8.535533905932742860e-01,3.535533905932725096e-01
8.242640687119293652e-01,4.242640687119265674e-01
7.949747468305834452e-01,4.949747468305829567e-01
7.656854249492375253e-01,5.656854249492393460e-01
7.363961030678936037e-01,6.363961030678909614e-01
7.071067811865475727e-01,7.071067811865474617e-01
6.363961030678957354e-01,7.363961030678914943e-01
5.656854249492390130e-01,7.656854249492375253e-01
4.949747468305823461e-01,7.949747468305836673e-01
4.242640687119304532e-01,8.242640687119276999e-01
3.535533905932737864e-01,8.535533905932737309e-01
2.828427124746171195e-01,8.828427124746197618e-01
2.121320343559652266e-01,9.121320343559637944e-01
1.414213562373085598e-01,9.414213562373099364e-01
7.071067811865183739e-02,9.707106781186558564e-01
0.000000000000000000e+00,1.000000000000000000e+00
-7.071067811865618113e-02,9.707106781186541911e-01
-1.414213562373075883e-01,9.414213562373102695e-01
-2.121320343559637833e-01,9.121320343559644606e-01
-2.828427124746199506e-01,8.828427124746186516e-01
-3.535533905932713439e-01,8.535533905932748411e-01
-4.242640687119275666e-01,8.242640687119289211e-01
-4.949747468305837339e-01,7.949747468305831122e-01
-5.656854249492351272e-01,7.656854249492393016e-01
-6.363961030678912945e-01,7.363961030678933817e-01
-7.071067811865474617e-01,7.071067811865475727e-01
-7.363961030678914943e-01,6.363961030678957354e-01
-7.656854249492375253e-01,5.656854249492390130e-01
-7.949747468305836673e-01,4.949747468305823461e-01
-8.242640687119276999e-01,4.242640687119304532e-01
-8.535533905932737309e-01,3.535533905932737864e-01
-8.828427124746177634e-01,2.828427124746218935e-01
-9.121320343559637944e-01,2.121320343559652266e-01
-9.414213562373099364e-01,1.414213562373085598e-01
-9.707106781186538580e-01,7.071067811865661135e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186539690e-01,7.071067811865666686e-02
-9.414213562373099364e-01,1.414213562373085320e-01
-9.121320343559639054e-01,2.121320343559651989e-01
-8.828427124746178745e-01,2.828427124746218935e-01
-8.535533905932738419e-01,3.535533905932737309e-01
-8.242640687119278109e-01,4.242640687119303977e-01
-7.949747468305816689e-01,4.949747468305870646e-01
-7.656854249492377473e-01,5.656854249492389020e-01
-7.363961030678916053e-01,6.363961030678956243e-01
-7.071067811865475727e-01,7.071067811865474617e-01
-6.363961030678914055e-01,7.363961030678932707e-01
-5.656854249492351272e-01,7.656854249492391906e-01
-4.949747468305837339e-01,7.949747468305830012e-01
-4.242640687119275666e-01,8.242640687119289211e-01
-3.535533905932713439e-01,8.535533905932747301e-01
-2.828427124746199506e-01,8.828427124746185406e-01
-2.121320343559637833e-01,9.121320343559644606e-01
-1.414213562373075606e-01,9.414213562373102695e-01
-7.071067811865616726e-02,9.707106781186540800e-01
0.000000000000000000e+00,1.000000000000000000e+00
-7.071067811865666686e-02,9.707106781186539690e-01
-1.414213562373085320e-01,9.414213562373099364e-01
-2.121320343559651989e-01,9.121320343559639054e-01
-2.828427124746170640e-01,8.828427124746198729e-01
-3.535533905932737309e-01,8.535533905932738419e-01
-4.242640687119303977e-01,8.242640687119278109e-01
-4.949747468305822906e-01,7.949747468305836673e-01
-5.656854249492389020e-01,7.656854249492377473e-01
-6.363961030678956243e-01,7.363961030678916053e-01
-7.071067811865474617e-01,7.071067811865475727e-01
-7.363961030678932707e-01,6.363961030678914055e-01
-7.656854249492391906e-01,5.656854249492351272e-01
-7.949747468305830012e-01,4.949747468305837339e-01
-8.242640687119289211e-01,4.242640687119275666e-01
-8.535533905932727317e-01,3.535533905932761733e-01
-8.828427124746185406e-01,2.828427124746199506e-01
-9.121320343559644606e-01,2.121320343559637833e-01
-9.414213562373082711e-01,1.414213562373123345e-01
-9.707106781186540800e-01,7.071067811865616726e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186559674e-01,7.071067811865187902e-02
-9.414213562373099364e-01,1.414213562373085320e-01
-9.121320343559639054e-01,2.121320343559651989e-01
-8.828427124746198729e-01,2.828427124746170640e-01
-8.535533905932738419e-01,3.535533905932737309e-01
-8.242640687119278109e-01,4.242640687119303977e-01
-7.949747468305836673e-01,4.949747468305822906e-01
-7.656854249492377473e-01,5.656854249492389020e-01
-7.363961030678936037e-01,6.363961030678908504e-01
-7.071067811865475727e-01,7.071067811865474617e-01
-6.363961030678914055e-01,7.363961030678932707e-01
-5.656854249492400122e-01,7.656854249492371922e-01
-4.949747468305837339e-01,7.949747468305830012e-01
-4.242640687119275666e-01,8.242640687119289211e-01
-3.535533905932761733e-01,8.535533905932727317e-01
-2.828427124746199506e-01,8.828427124746185406e-01
-2.121320343559637833e-01,9.121320343559644606e-01
-1.414213562373123345e-01,9.414213562373082711e-01
-7.071067811865616726e-02,9.707106781186540800e-01
0.000000000000000000e+00,1.000000000000000000e+00
-7.071067811865187902e-02,9.707106781186559674e-01
-1.414213562373085320e-01,9.414213562373099364e-01
-2.121320343559603971e-01,9.121320343559659038e-01
-2.828427124746170640e-01,8.828427124746198729e-01
-3.535533905932737309e-01,8.535533905932738419e-01
-4.242640687119256238e-01,8.242640687119298093e-01
-4.949747468305822906e-01,7.949747468305836673e-01
-5.656854249492389020e-01,7.656854249492377473e-01
-6.363961030678908504e-01,7.363961030678936037e-01
-7.071067811865474617e-01,7.071067811865475727e-01
-7.363961030678934927e-01,6.363961030678908504e-01
-7.656854249492375253e-01,5.656854249492390130e-01
-7.949747468305836673e-01,4.949747468305823461e-01
-8.242640687119276999e-01,4.242640687119304532e-01
-8.535533905932737309e-01,3.535533905932737864e-01
-8.828427124746197618e-01,2.828427124746171195e-01
-9.121320343559637944e-01,2.121320343559652266e-01
-9.414213562373099364e-01,1.414213562373085598e-01
-9.707106781186558564e-01,7.071067811865183739e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186541911e-01,-7.071067811865618113e-02
-9.414213562373083821e-01,-1.414213562373123623e-01
-9.121320343559644606e-01,-2.121320343559637833e-01
-8.828427124746186516e-01,-2.828427124746199506e-01
-8.535533905932728427e-01,-3.535533905932761178e-01
-8.242640687119289211e-01,-4.242640687119275666e-01
-7.949747468305831122e-01,-4.949747468305837339e-01
-7.656854249492393016e-01,-5.656854249492351272e-01
-7.363961030678933817e-01,-6.363961030678912945e-01
-7.071067811865475727e-01,-7.071067811865474617e-01
-6.363961030678957354e-01,-7.363961030678914943e-01
-5.656854249492390130e-01,-7.656854249492375253e-01
-4.949747468305823461e-01,-7.949747468305836673e-01
-4.242640687119304532e-01,-8.242640687119276999e-01
-3.535533905932737864e-01,-8.535533905932737309e-01
-2.828427124746171195e-01,-8.828427124746197618e-01
-2.121320343559652266e-01,-9.121320343559637944e-01
-1.414213562373085598e-01,-9.414213562373099364e-01
-7.071067811865183739e-02,-9.707106781186558564e-01
0.000000000000000000e+00,-1.000000000000000000e+00
7.071067811865618113e-02,-9.707106781186541911e-01
1.414213562373075883e-01,-9.414213562373102695e-01
2.121320343559637833e-01,-9.121320343559644606e-01
2.828427124746199506e-01,-8.828427124746186516e-01
3.535533905932713439e-01,-8.535533905932748411e-01
4.242640687119275666e-01,-8.242640687119289211e-01
4.949747468305837339e-01,-7.949747468305831122e-01
5.656854249492351272e-01,-7.656854249492393016e-01
6.363961030678912945e-01,-7.363961030678933817e-01
7.071067811865474617e-01,-7.071067811865475727e-01
7.363961030678914943e-01,-6.363961030678957354e-01
